date,tmin,tmax,prcp,snow,snwd,awnd
18/01/2019,39,59,0,0,0,4.92
24/01/2019,35,65,0.73,0,0,11.41
28/01/2019,37,50,0,0,0,5.82
29/01/2019,31,54,0.16,0,0,8.95
31/01/2019,18,39,0,0,0,4.92
03/02/2019,33,61,0,0,0,0
11/02/2019,36,46,0.15,0,0,3.58
22/02/2019,40,53,0.69,0,0,7.38
23/02/2019,39,42,1.02,0,0,5.14
04/03/2019,34,50,0.01,0,0,4.92
05/03/2019,32,44,0,0,0,5.14
10/03/2019,47,68,0.04,0,0,9.4
12/03/2019,35,60,0,0,0,2.68
13/03/2019,32,64,0,0,0,4.7
14/03/2019,50,75,0,0,0,10.29
17/03/2019,35,57,0,0,0,3.8
20/03/2019,32,53,0.05,0,0,6.71
25/03/2019,51,71,0.54,0,0,7.38
30/03/2019,53,76,0,0,0,10.74
31/03/2019,44,65,0.01,0,0,9.17
10/04/2019,54,74,0,0,0,4.25
15/04/2019,47,71,0.05,0,0,10.51
27/04/2019,45,74,0,0,0,8.05
29/04/2019,54,69,0,0,0,7.61
04/05/2019,65,86,0.63,0,0,7.38
17/05/2019,58,85,0,0,0,6.26
18/05/2019,62,91,0,0,0,2.01
19/05/2019,69,89,0,0,0,10.74
20/05/2019,69,88,0,0,0,10.96
22/05/2019,62,80,0,0,0,6.04
28/05/2019,67,96,0,0,0,6.04
29/05/2019,68,95,0,0,0,5.37
03/06/2019,60,82,0,0,0,4.7
06/06/2019,69,90,0,0,0,7.61
11/06/2019,61,81,0.02,0,0,6.26
13/06/2019,61,79,0.35,0,0,7.61
15/06/2019,51,83,0,0,0,6.93
18/06/2019,71,91,0.06,0,0,9.4
26/06/2019,68,89,0,0,0,2.46
27/06/2019,67,93,0,0,0,3.36
29/06/2019,68,92,0.03,0,0,4.03
06/07/2019,74,93,0,0,0,8.95
20/07/2019,73,95,0,0,0,5.37
31/07/2019,69,95,0.24,0,0,3.36
13/08/2019,73,96,0.56,0,0,7.61
18/08/2019,70,92,0,0,0,2.91
